"Year","kms Driven","Fuel Type","Suspension","Price","Car Model"
"2015","95430 kms "," Petrol "," Manual"," 5 Lakh","Honda City i VTEC VX"
"2014","60000 kms "," Petrol "," Manual"," 4.35 Lakh","Honda Amaze S i-Vtech"
"2016","60000 kms "," Petrol "," Manual"," 4.59 Lakh","Honda Amaze E i-Vtech"
"2018","80000 kms "," Petrol "," Automatic"," 9 Lakh","Honda City i-VTEC CVT VX"
"2019","42240 kms "," Diesel "," Manual"," 8 Lakh","Honda City i-DTEC V"
"2014","166563 kms "," Diesel "," Manual"," 4 Lakh","Honda City i DTEC VX"
"2014","168039 kms "," Diesel "," Manual"," 5.85 Lakh","Honda Mobilio RS i-DTEC"
"2015","112403 kms "," Diesel "," Manual"," 3 Lakh","Honda Amaze S i-Dtech"
"2017","32422 kms "," Petrol "," Automatic"," 8.50 Lakh","Honda City i-VTEC CVT V"
"2014","115181 kms "," Diesel "," Manual"," 5.27 Lakh","Honda Mobilio S i-DTEC"
"2014","88385 kms "," Diesel "," Manual"," 5.50 Lakh","Honda City i DTEC V"
"2013","32654 kms "," Petrol "," Manual"," 3.25 Lakh","Honda Brio S MT"
"2019","35000 kms "," Petrol "," Manual"," 7.95 Lakh","Honda BR-V i-VTEC VX MT"
"2014","30692 kms "," Petrol "," Manual"," 3.95 Lakh","Honda Amaze E i-Vtech"
"2016","52000 kms "," Petrol "," Manual"," 7 Lakh","Honda City i VTEC V"
"2014","115068 kms "," Petrol "," Automatic"," 5.50 Lakh","Honda City i VTEC CVT VX"
"2009","90000 kms "," Petrol "," Manual"," 3 Lakh","Honda City S"
"2015","50500 kms "," Petrol "," Manual"," 6.49 Lakh","Honda City i VTEC VX"
"2017","74000 kms "," Diesel "," Manual"," 8.25 Lakh","Honda City i DTec V"
"2015","49848 kms "," Petrol "," Manual"," 6.50 Lakh","Honda City i VTEC V"
"2019","12494 kms "," Petrol "," Manual"," 6 Lakh","Honda Amaze V Petrol BSIV"
"2015","29822 kms "," Petrol "," Manual"," 5 Lakh","Honda Amaze SX i-VTEC"
"2017","57253 kms "," Petrol "," Manual"," 3.20 Lakh","Honda Brio 1.2 S MT"
"2016","43977 kms "," Petrol "," Manual"," 6.24 Lakh","Honda City i VTEC V"
"2010","82000 kms "," Petrol "," Manual"," 3.51 Lakh","Honda Accord 2.4 M/T"
"2017","30000 kms "," Petrol "," Automatic"," 5 Lakh","Honda Amaze S CVT i-VTEC"
"2011","68000 kms "," Petrol "," Automatic"," 3.10 Lakh","Honda Civic 1.8 V AT Insp"
"2008","104000 kms "," Petrol "," Manual"," 1.80 Lakh","Honda City GXi"
"2010","100000 kms "," Petrol "," Manual"," 4 Lakh","Honda Accord 2.4 MT"
"2016","50000 kms "," Petrol "," Manual"," 6 Lakh","Honda City i VTEC SV"
"2016","83797 kms "," Petrol "," Automatic"," 7.50 Lakh","Honda City i VTEC CVT VX"
"2009","131773 kms "," Petrol "," Manual"," 1.50 Lakh","Honda Civic 1.8 (E) MT"
"2011","82542 kms "," Petrol "," Manual"," 3.01 Lakh","Honda City 1.5 S MT"
"2013","170137 kms "," Diesel "," Manual"," 2.80 Lakh","Honda Amaze VX i-DTEC"
"2014","8696 kms "," Petrol "," Manual"," 4 Lakh","Honda Mobilio V i-VTEC"
"2014","79303 kms "," Diesel "," Manual"," 2 Lakh","Honda Amaze EX i-Dtech"
"2014","22377 kms "," Petrol "," Manual"," 6 Lakh","Honda City i VTEC SV"
"2011","71199 kms "," Petrol "," Manual"," 2.85 Lakh","Honda City S"
"2009","78216 kms "," Petrol "," Manual"," 1 Lakh","Honda Jazz Basic"
"2013","93430 kms "," Petrol "," Manual"," 4 Lakh","Honda City S"
"2005","106719 kms "," Petrol "," Manual"," 1.25 Lakh","Honda City EXi"
"2012","74634 kms "," Petrol "," Manual"," 3.85 Lakh","Honda City Corporate Edit"
"2015","32495 kms "," Diesel "," Manual"," 6.09 Lakh","Honda Jazz 1.5 VX i DTEC"
"2016","40831 kms "," Petrol "," Manual"," 4.50 Lakh","Honda Amaze S i-VTEC"
"2017","22735 kms "," Petrol "," Manual"," 7.15 Lakh","Honda City i VTEC SV"
"2014","138942 kms "," Petrol "," Manual"," 2.50 Lakh","Honda Amaze S i-Vtech"
"2009","114846 kms "," Petrol "," Manual"," 1.30 Lakh","Honda City 1.5 S MT"
"2010","235702 kms "," Petrol "," Manual"," 2.72 Lakh","Honda Jazz Basic"
"2020","52771 kms "," Petrol "," Automatic"," 5.85 Lakh","Honda Amaze S CVT Petrol "
"2018","29000 kms "," Petrol "," Automatic"," 7.80 Lakh","Honda Amaze V CVT Petrol"
"2019","32000 kms "," Petrol "," Automatic"," 9.90 Lakh","Honda City i-VTEC CVT VX"
"2017","62000 kms "," Petrol "," Automatic"," 6.90 Lakh","Honda BR-V i-VTEC V CVT"
"2016","62157 kms "," Petrol "," Automatic"," 12.95 Lakh","Honda CR-V 2.0L 2WD AT"
"2008","114502 kms "," Petrol "," Manual"," 1 Lakh","Honda Civic 1.8 V MT"
"2016","16000 kms "," Petrol "," Manual"," 4.65 Lakh","Honda Brio VX"
"2014","55000 kms "," Petrol "," Manual"," 5.25 Lakh","Honda City i VTEC S"
"2018","56069 kms "," Diesel "," Manual"," 6.10 Lakh","Honda Amaze VX i DTEC"
"2014","80000 kms "," Petrol "," Manual"," 7.51 Lakh","Honda CR-V 2.0L 2WD MT"
"2015","50000 kms "," Diesel "," Manual"," 5.55 Lakh","Honda City i DTEC S"
"2015","49970 kms "," Diesel "," Manual"," 6.50 Lakh","Honda City i DTEC VX"
"2016","16300 kms "," Petrol "," Automatic"," 6 Lakh","Honda City i VTEC CVT SV"
"2009","130135 kms "," Petrol "," Automatic"," 2.50 Lakh","Honda City 1.5 S AT"
"2015","30833 kms "," Petrol "," Manual"," 5 Lakh","Honda Mobilio V Option i-"
"2016","42000 kms "," Petrol "," Manual"," 3.65 Lakh","Honda Jazz 1.2 S i VTEC"
"2018","40000 kms "," Diesel "," Manual"," 7.15 Lakh","Honda WR-V i-DTEC VX"
"2007","80000 kms "," Petrol "," Manual"," 1.50 Lakh","Honda City GXi"
"2010","56000 kms "," Petrol "," Manual"," 2.45 Lakh","Honda City 1.5 S MT"
"2010","40000 kms "," Petrol "," Automatic"," 4 Lakh","Honda Civic 1.8 V AT"
"2022","3500 kms "," Petrol "," Manual"," 11.25 Lakh","Honda City V MT"
"2015","107252 kms "," Diesel "," Manual"," 2.90 Lakh","Honda Amaze S i-Dtech"
"2016","43987 kms "," Petrol "," Manual"," 3.92 Lakh","Honda Amaze S i-Vtech"
"2022","2758 kms "," Petrol "," Manual"," 7 Lakh","Honda Amaze S"
"2009","149155 kms "," Petrol "," Manual"," 3.09 Lakh","Honda City 1.5 S MT"
"2014","90962 kms "," Diesel "," Manual"," 3.50 Lakh","Honda Mobilio V i-DTEC"
"2021","12313 kms "," Petrol "," Automatic"," 9.32 Lakh","Honda Amaze VX CVT Petrol"
"2006","84002 kms "," Petrol "," Manual"," 1.50 Lakh","Honda City GXi"
"2013","55164 kms "," Petrol "," Manual"," 2.75 Lakh","Honda Amaze VX i-Vtech"
"2016","38260 kms "," Petrol "," Automatic"," 6.50 Lakh","Honda Jazz 1.2 V AT i VTE"
"2018","44255 kms "," Diesel "," Manual"," 6.20 Lakh","Honda WR-V i-DTEC VX"
"2014","37950 kms "," Petrol "," Manual"," 4.15 Lakh","Honda City i VTEC SV"
"2015","96395 kms "," Diesel "," Manual"," 4 Lakh","Honda City i DTEC V"
"2013","43693 kms "," Petrol "," Manual"," 2.25 Lakh","Honda Brio S MT"
"2009","95515 kms "," Petrol "," Manual"," 3 Lakh","Honda City 1.5 E MT"
"2017","25550 kms "," Petrol "," Automatic"," 8 Lakh","Honda City i-VTEC CVT ZX"
"2021","6605 kms "," Petrol "," Manual"," 10 Lakh","Honda City V MT"
"2014","84504 kms "," Diesel "," Manual"," 3 Lakh","Honda Mobilio S i-DTEC"
"2014","74884 kms "," Diesel "," Manual"," 3.50 Lakh","Honda Amaze S i-Dtech"
"2019","16549 kms "," Petrol "," Automatic"," 9 Lakh","Honda BR-V i-VTEC V CVT"
"2009","116146 kms "," Petrol "," Manual"," 2 Lakh","Honda City 1.5 V MT"
"2010","57788 kms "," Petrol "," Manual"," 1.30 Lakh","Honda Jazz Basic"
"2016","73147 kms "," Petrol "," Manual"," 5 Lakh","Honda City i VTEC SV"
"2014","16802 kms "," Petrol "," Manual"," 5 Lakh","Honda City i VTEC VX"
"2014","66411 kms "," Diesel "," Manual"," 7 Lakh","Honda City i DTEC VX"
"2015","31111 kms "," Petrol "," Manual"," 4 Lakh","Honda Amaze S i-Vtech"
"2021","7909 kms "," Petrol "," Manual"," 7 Lakh","Honda Amaze S"
"2020","5512 kms "," Petrol "," Automatic"," 14.45 Lakh","Honda City ZX CVT"
"2022","15500 kms "," Petrol "," Manual"," 13.80 Lakh","Honda City ZX MT"
"2016","52500 kms "," Petrol "," Manual"," 5.65 Lakh","Honda Jazz 1.2 VX i VTEC"
"2014","134397 kms "," Diesel "," Manual"," 5.75 Lakh","Honda City i DTEC V"
"2009","92128 kms "," Petrol "," Manual"," 1.78 Lakh","Honda City 1.5 S MT"
"2014","148000 kms "," Diesel "," Manual"," 3.50 Lakh","Honda Amaze VX O iDTEC"
"2014","85105 kms "," Petrol "," Automatic"," 9 Lakh","Honda CR-V 2.4L 4WD AT"
"2014","104790 kms "," Diesel "," Manual"," 4 Lakh","Honda City i DTEC SV"
"2018","64000 kms "," Petrol "," Automatic"," 7.75 Lakh","Honda Jazz 1.2 V AT i VTE"
"2007","127220 kms "," Petrol "," Manual"," 1.85 Lakh","Honda City EXi"
"2018","33694 kms "," Diesel "," Manual"," 6.49 Lakh","Honda Amaze V Diesel"
"2014","110481 kms "," Diesel "," Manual"," 5 Lakh","Honda City i DTEC E"
"2011","33893 kms "," Petrol "," Manual"," 3 Lakh","Honda Civic 1.8 V MT"
"2022","20000 kms "," Petrol "," Automatic"," 8.15 Lakh","Honda Amaze S CVT"
"2016","39000 kms "," Diesel "," Manual"," 6.10 Lakh","Honda City i DTEC V"
"2015","71000 kms "," Petrol "," Manual"," 4.75 Lakh","Honda Jazz V"
"2012","120088 kms "," Petrol "," Manual"," 3.25 Lakh","Honda City V MT"
"2013","74680 kms "," Petrol "," Manual"," 3.62 Lakh","Honda City S"
"2013","43500 kms "," Petrol "," Manual"," 4.21 Lakh","Honda City S"
"2014","68978 kms "," Diesel "," Manual"," 2.80 Lakh","Honda Amaze S i-Dtech"
"2019","23561 kms "," Diesel "," Manual"," 11 Lakh","Honda BR-V i-DTEC V MT"
"2012","145956 kms "," Petrol "," Automatic"," 3.65 Lakh","Honda City 1.5 V AT Sunro"
"2015","105773 kms "," Diesel "," Manual"," 3.50 Lakh","Honda City i DTEC SV"
"2022","15000 kms "," Petrol "," Automatic"," 8 Lakh","Honda Amaze S CVT"
"2010","70000 kms "," Petrol "," Manual"," 2 Lakh","Honda Civic 1.8 S MT"
"2017","51920 kms "," Petrol "," Manual"," 7.10 Lakh","Honda City i-VTEC VX"
"2010","50965 kms "," Petrol "," Manual"," 2.50 Lakh","Honda City 1.5 S MT"
"2013","63525 kms "," Petrol "," Automatic"," 4 Lakh","Honda City 1.5 S AT"
"2019","110785 kms "," Petrol "," Manual"," 5.50 Lakh","Honda Amaze S Petrol BSIV"
"2022","5362 kms "," Petrol "," Automatic"," 10 Lakh","Honda Amaze VX CVT"
"2015","47441 kms "," Petrol "," Manual"," 5.50 Lakh","Honda City i VTEC V"
"2014","149990 kms "," Diesel "," Manual"," 2.75 Lakh","Honda City i DTEC SV"
"2016","41163 kms "," Diesel "," Manual"," 6.50 Lakh","Honda BR-V i-DTEC V MT"
"2010","26900 kms "," Petrol "," Manual"," 3 Lakh","Honda City 1.5 S MT"
"2015","100000 kms "," Diesel "," Manual"," 6.85 Lakh","Honda City i DTEC V"
"2011","107403 kms "," Petrol "," Manual"," 3.10 Lakh","Honda Civic 1.8 S MT"
"2008","70000 kms "," Petrol "," Manual"," 1.25 Lakh","Honda City GXi"
"2014","41052 kms "," Petrol "," Manual"," 2.65 Lakh","Honda Brio S MT"
"2015","126637 kms "," Petrol "," Manual"," 3 Lakh","Honda Amaze S i-Vtech"
"2011","76140 kms "," Petrol "," Manual"," 4.25 Lakh","Honda Jazz X"
"2021","38352 kms "," Petrol "," Manual"," 7.85 Lakh","Honda Amaze VX Petrol"
"2021","38352 kms "," Petrol "," Manual"," 7.85 Lakh","Honda Amaze VX Petrol"
"2020","12487 kms "," Petrol "," Manual"," 13.45 Lakh","Honda City i-VTEC S"
"2013","28000 kms "," Petrol "," Manual"," 4.60 Lakh","Honda City i VTEC S"
"2017","31000 kms "," Diesel "," Manual"," 9.75 Lakh","Honda City i-DTEC ZX"
"2020","60714 kms "," Petrol "," Manual"," 6.90 Lakh","Honda Amaze S Petrol"
"2013","136323 kms "," Diesel "," Manual"," 3 Lakh","Honda Amaze EX i-Dtech"
"2016","25314 kms "," Petrol "," Manual"," 7.55 Lakh","Honda City i VTEC VX"
"2020","26504 kms "," Petrol "," Manual"," 5.87 Lakh","Honda Amaze S Petrol"
"2014","85533 kms "," Diesel "," Manual"," 3.09 Lakh","Honda City i DTEC SV"
"2015","47438 kms "," Diesel "," Manual"," 4.85 Lakh","Honda City i DTEC V"
"2014","47000 kms "," Petrol "," Manual"," 5.55 Lakh","Honda City i VTEC V"
"2013","54341 kms "," Petrol "," Automatic"," 6.27 Lakh","Honda City V AT"
"2015","80000 kms "," Diesel "," Manual"," 4.50 Lakh","Honda Mobilio RS i-DTEC"
"2015","40000 kms "," Petrol "," Automatic"," 5.50 Lakh","Honda City i VTEC CVT VX"
"2015","85000 kms "," Diesel "," Manual"," 4.95 Lakh","Honda Mobilio E i-DTEC"
"2015","55331 kms "," Petrol "," Manual"," 5.90 Lakh","Honda City i VTEC SV"
"2016","80815 kms "," Petrol "," Manual"," 6.80 Lakh","Honda City i VTEC VX"
"2010","80910 kms "," Petrol "," Manual"," 1.65 Lakh","Honda Civic 1.8 V MT"
"2012","51902 kms "," Petrol "," Manual"," 3 Lakh","Honda City S"
"2017","42000 kms "," Petrol "," Manual"," 4.80 Lakh","Honda Jazz 1.2 SV i VTEC"
"2009","82000 kms "," Petrol "," Manual"," 2.85 Lakh","Honda City 1.5 S MT"
"2009","45000 kms "," Petrol "," Manual"," 2.25 Lakh","Honda Jazz Basic"
"2013","61000 kms "," Petrol "," Manual"," 3.90 Lakh","Honda City i VTEC V"
"2020","32093 kms "," Petrol "," Manual"," 5.60 Lakh","Honda Amaze S Petrol"
"2009","97241 kms "," Petrol "," Automatic"," 7.50 Lakh","Honda Accord 2.4 AT"
"2012","135435 kms "," Petrol "," Manual"," 4 Lakh","Honda City V MT"
"2018","53955 kms "," Diesel "," Automatic"," 6.75 Lakh","Honda Amaze V CVT Diesel "
"2012","72903 kms "," Petrol "," Automatic"," 5 Lakh","Honda City 1.5 V AT Sunro"
"2010","41510 kms "," Petrol "," Manual"," 3 Lakh","Honda Civic 1.8 V MT"
"2009","87163 kms "," Petrol "," Manual"," 1 Lakh","Honda City 1.5 S MT"
"2017","20619 kms "," Petrol "," Manual"," 6 Lakh","Honda WR-V i-VTEC VX"
"2015","19673 kms "," Petrol "," Manual"," 3.50 Lakh","Honda Amaze S i-Vtech"
"2015","53560 kms "," Petrol "," Automatic"," 3 Lakh","Honda Brio VX AT"
"2008","106485 kms "," Petrol "," Manual"," 3 Lakh","Honda City 1.5 S MT"
"2012","47217 kms "," Petrol "," Manual"," 2.20 Lakh","Honda Brio S MT"
"2007","130000 kms "," Petrol "," Automatic"," 2 Lakh","Honda Accord VTi-L (AT)"
"2019","87000 kms "," Petrol "," Manual"," 6.50 Lakh","Honda Amaze S Petrol BSIV"
"2017","53000 kms "," Petrol "," Manual"," 6.40 Lakh","Honda City i VTEC V"
"2009","64533 kms "," Petrol "," Automatic"," 4.50 Lakh","Honda Accord 2.4 AT"
"2014","91000 kms "," Diesel "," Manual"," 5.30 Lakh","Honda City i DTEC V"
"2021","103000 kms "," Petrol "," Manual"," 9.75 Lakh","Honda City V MT"
"2021","10000 kms "," Petrol "," Manual"," 12.55 Lakh","Honda City VX MT"
"2013","113924 kms "," Diesel "," Manual"," 3 Lakh","Honda Amaze S i-Dtech"
"2009","95000 kms "," Petrol "," Manual"," 2.95 Lakh","Honda City 1.5 E MT"
"2009","128853 kms "," Petrol "," Manual"," 3 Lakh","Honda Civic 1.8 (E) MT"
"2015","125000 kms "," Diesel "," Manual"," 6 Lakh","Honda City i DTEC VX"
"2014","92509 kms "," Diesel "," Manual"," 5 Lakh","Honda City i DTEC VX"
"2012","55467 kms "," Petrol "," Automatic"," 3.95 Lakh","Honda City V AT"
"2016","59010 kms "," Petrol "," Automatic"," 7.80 Lakh","Honda City i VTEC CVT VX"
"2015","57449 kms "," Petrol "," Automatic"," 5.75 Lakh","Honda City i VTEC CVT SV"
"2016","61221 kms "," Petrol "," Automatic"," 8 Lakh","Honda City i VTEC CVT VX"
"2012","48000 kms "," Petrol "," Manual"," 2.75 Lakh","Honda Brio S MT"
"2016","43000 kms "," Petrol "," Manual"," 5.30 Lakh","Honda Jazz 1.2 V i VTEC"
"2014","35200 kms "," Petrol "," Manual"," 3.70 Lakh","Honda Amaze S i-Vtech"
"2010","91744 kms "," Petrol "," Manual"," 2.30 Lakh","Honda City 1.5 S MT"
"2012","73453 kms "," Petrol "," Manual"," 2.25 Lakh","Honda Brio V MT"
"2010","90000 kms "," Petrol "," Automatic"," 2.30 Lakh","Honda City V AT"
"2013","71644 kms "," Petrol "," Manual"," 5 Lakh","Honda Amaze S i-Vtech"
"2012","70000 kms "," Petrol "," Manual"," 3.50 Lakh","Honda Jazz S"
"2016","36000 kms "," Petrol "," Manual"," 6.31 Lakh","Honda City i VTEC SV"
"2007","119515 kms "," Petrol "," Manual"," 1.50 Lakh","Honda City VTEC"
"2014","41576 kms "," Diesel "," Manual"," 4.50 Lakh","Honda City i DTEC SV"
"2020","35000 kms "," Petrol "," Manual"," 12.95 Lakh","Honda City ZX MT"
"2015","36000 kms "," Petrol "," Manual"," 4 Lakh","Honda Jazz 1.2 S i VTEC"
"2015","121940 kms "," Diesel "," Manual"," 2.95 Lakh","Honda Amaze S i-Dtech"
"2017","24779 kms "," Petrol "," Automatic"," 5.50 Lakh","Honda Jazz 1.2 V AT i VTE"
"2009","118383 kms "," Petrol "," Manual"," 1.20 Lakh","Honda Jazz S"
"2007","120000 kms "," Petrol "," Manual"," 85,000","Honda City VTEC"
"2022","5132 kms "," Petrol "," Automatic"," 8.50 Lakh","Honda Amaze VX CVT"
"2020","21795 kms "," Petrol "," Manual"," 6.30 Lakh","Honda Amaze S Petrol"
"2015","100818 kms "," Diesel "," Manual"," 4.50 Lakh","Honda City i DTEC E"
"2014","91332 kms "," Diesel "," Manual"," 2.30 Lakh","Honda Amaze S i-Dtech"
"2017","47258 kms "," Petrol "," Automatic"," 8.50 Lakh","Honda City i-VTEC CVT ZX"
"2009","95409 kms "," Petrol "," Manual"," 2.50 Lakh","Honda City 1.5 V MT"
"2009","43489 kms "," Petrol "," Manual"," 2 Lakh","Honda City 1.5 S MT"
"2017","71359 kms "," Petrol "," Manual"," 7 Lakh","Honda BR-V i-VTEC V MT"
"2010","87362 kms "," Petrol "," Manual"," 2 Lakh","Honda City 1.5 V MT"
"2008","80000 kms "," Petrol "," Manual"," 2 Lakh","Honda Civic 1.8 V MT"
"2014","79000 kms "," Petrol "," Automatic"," 7.99 Lakh","Honda CR-V 2.4L 4WD AT AV"
"2017","40000 kms "," Diesel "," Manual"," 4.90 Lakh","Honda Amaze S Option i-DT"
"2014","43000 kms "," Petrol "," Manual"," 5.25 Lakh","Honda City i VTEC SV"
"2000","80000 kms "," Petrol "," Manual"," 1.70 Lakh","Honda City 1.3 DX"
"2007","196000 kms "," Petrol "," Manual"," 1.80 Lakh","Honda Civic 1.8 (E) MT"
"2016","46000 kms "," Petrol "," Automatic"," 5.95 Lakh","Honda Amaze V CVT Petrol "
"2021","11000 kms "," Petrol "," Automatic"," 13.40 Lakh","Honda City V CVT"
"2014","78000 kms "," Diesel "," Manual"," 6.25 Lakh","Honda Mobilio RS Option i"
"2019","30000 kms "," Petrol "," Manual"," 6.99 Lakh","Honda Amaze S i-VTEC"
"2018","54000 kms "," Diesel "," Manual"," 8.25 Lakh","Honda WR-V i-DTEC VX"
"2016","110000 kms "," Diesel "," Manual"," 5.15 Lakh","Honda Jazz 1.5 V i DTEC"
"2014","90000 kms "," Diesel "," Manual"," 4.45 Lakh","Honda City i DTEC VX"
"2019","30000 kms "," Petrol "," Automatic"," 8.65 Lakh","Honda Jazz VX CVT"
"2012","70000 kms "," Petrol "," Manual"," 2.90 Lakh","Honda Jazz Basic"
"2014","80000 kms "," Diesel "," Manual"," 4.60 Lakh","Honda Amaze S i-Dtech"
"2005","110000 kms "," Petrol "," Manual"," 60,000","Honda City 1.5 GXI"
"2006","90000 kms "," Petrol "," Manual"," 1.40 Lakh","Honda City GXi"
"2014","110000 kms "," Diesel "," Manual"," 5.30 Lakh","Honda City i DTEC VX"
"2012","62500 kms "," Petrol "," Automatic"," 3.50 Lakh","Honda City 1.5 S AT"
"2014","42000 kms "," Petrol "," Manual"," 4.95 Lakh","Honda Mobilio V i-VTEC"
"2017","120000 kms "," Diesel "," Manual"," 3 Lakh","Honda Amaze E Option i-DT"
"2019","120000 kms "," Diesel "," Manual"," 6 Lakh","Honda Amaze Exclusive Die"
"2017","58646 kms "," Petrol "," Automatic"," 7.49 Lakh","Honda BR-V i-VTEC V CVT"
"2014","50000 kms "," Petrol "," Manual"," 3.75 Lakh","Honda City i VTEC SV"
"2019","40000 kms "," Petrol "," Manual"," 5.50 Lakh","Honda Jazz VX"
"2017","52000 kms "," Petrol "," Manual"," 6.10 Lakh","Honda Jazz V"
"2016","45000 kms "," Petrol "," Manual"," 4.10 Lakh","Honda Brio 1.2 S MT"
"2019","40000 kms "," Diesel "," Manual"," 10.90 Lakh","Honda City i-DTEC VX"
"2016","70000 kms "," Diesel "," Manual"," 5.70 Lakh","Honda Amaze S Diesel"
"2016","40001 kms "," Petrol "," Automatic"," 6.25 Lakh","Honda Jazz V CVT"
"2012","90000 kms "," Petrol "," Manual"," 4.30 Lakh","Honda City V MT"
"2019","30000 kms "," Petrol "," Manual"," 7.50 Lakh","Honda WR-V i-VTEC VX"
"2018","90000 kms "," Diesel "," Manual"," 7.50 Lakh","Honda Amaze VX i DTEC"
"2018","60000 kms "," Petrol "," Manual"," 5.50 Lakh","Honda Jazz 1.2 S i VTEC"
"2014","85269 kms "," Petrol "," Manual"," 3 Lakh","Honda Brio S MT"
"2010","105248 kms "," Petrol "," Manual"," 3 Lakh","Honda City 1.5 S MT"
"2018","33412 kms "," Petrol "," Manual"," 8.40 Lakh","Honda City i-VTEC V"
"2019","30258 kms "," Petrol "," Manual"," 9.50 Lakh","Honda City V MT"
"2009","67300 kms "," Petrol "," Automatic"," 2.35 Lakh","Honda City 1.5 S AT"
"2018","87482 kms "," Diesel "," Manual"," 7.50 Lakh","Honda WR-V i-DTEC S"
"2017","76858 kms "," Petrol "," Manual"," 4.90 Lakh","Honda Jazz 1.2 S i VTEC"
"2022","8700 kms "," Petrol "," Manual"," 14 Lakh","Honda City ZX MT"
"2012","34391 kms "," Petrol "," Manual"," 3.90 Lakh","Honda Jazz 1.2 S i VTEC"
"2016","46000 kms "," Petrol "," Manual"," 5 Lakh","Honda Amaze VX i-VTEC"
"2020","10000 kms "," Petrol "," Manual"," 6.50 Lakh","Honda Amaze S Petrol"
"2019","79000 kms "," Diesel "," Manual"," 17.20 Lakh","Honda Civic VX Diesel"
"2010","77000 kms "," Petrol "," Manual"," 3.25 Lakh","Honda City 1.5 V MT"
"2014","80000 kms "," Diesel "," Manual"," 5 Lakh","Honda City i DTEC SV"
"2018","70000 kms "," Diesel "," Manual"," 7.50 Lakh","Honda WR-V i-DTEC VX"
"2015","45093 kms "," Petrol "," Manual"," 5.75 Lakh","Honda Jazz 1.2 V i VTEC"
"2009","78000 kms "," Petrol "," Manual"," 2.49 Lakh","Honda City 1.5 S MT"
"2015","53217 kms "," Petrol "," Manual"," 4.95 Lakh","Honda Jazz 1.2 V i VTEC"
"2015","1100000 kms "," Petrol "," Automatic"," 10.75 Lakh","Honda CR-V Petrol 2WD"
"2018","21000 kms "," Petrol "," Manual"," 6.95 Lakh","Honda WR-V Edge Edition i"
"2018","28000 kms "," Petrol "," Manual"," 8.25 Lakh","Honda WR-V i-VTEC VX"
"2017","21000 kms "," Petrol "," Manual"," 4.99 Lakh","Honda Amaze S i-VTEC"
"2015","75000 kms "," Petrol "," Manual"," 5.25 Lakh","Honda City i VTEC SV"
"2018","43800 kms "," Petrol "," Manual"," 7.45 Lakh","Honda WR-V i-VTEC VX"
"2015","60000 kms "," Petrol "," Manual"," 4.60 Lakh","Honda Brio S MT"
"2015","96409 kms "," Petrol "," Automatic"," 5.90 Lakh","Honda City i VTEC CVT SV"
"2009","60000 kms "," Petrol "," Manual"," 1.70 Lakh","Honda City 1.5 V MT"
"2017","50000 kms "," Diesel "," Manual"," 7.50 Lakh","Honda WR-V i-DTEC VX"
"2014","82410 kms "," Diesel "," Manual"," 6.60 Lakh","Honda City i DTEC S"
"2017","68011 kms "," Petrol "," Automatic"," 7 Lakh","Honda Jazz 1.2 V AT i VTE"
"2016","33000 kms "," Petrol "," Manual"," 4.95 Lakh","Honda Jazz 1.2 VX i VTEC"
"2014","142000 kms "," Diesel "," Manual"," 7.15 Lakh","Honda City i DTEC VX"
"2018","53416 kms "," Petrol "," Manual"," 7.95 Lakh","Honda City i-VTEC V"
"2015","74030 kms "," Petrol "," Manual"," 7.50 Lakh","Honda City VX MT"
"2014","120000 kms "," Diesel "," Manual"," 4.50 Lakh","Honda Mobilio V i-DTEC"
"2018","45915 kms "," Petrol "," Automatic"," 6.25 Lakh","Honda Jazz VX CVT"
"2012","80000 kms "," Petrol "," Manual"," 3 Lakh","Honda City E"
"2016","170000 kms "," Petrol "," Manual"," 5.25 Lakh","Honda Jazz 1.2 SV i VTEC"
"2019","30000 kms "," Diesel "," Manual"," 6.50 Lakh","Honda Amaze S Diesel BSIV"
"2010","50000 kms "," Petrol "," Manual"," 3.50 Lakh","Honda City 1.5 V MT"
"2017","15711 kms "," Petrol "," Manual"," 6.25 Lakh","Honda Mobilio V i-VTEC"
"2017","17000 kms "," Petrol "," Manual"," 5.75 Lakh","Honda Amaze S i-VTEC"
"2015","66795 kms "," Petrol "," Automatic"," 6.49 Lakh","Honda City i VTEC CVT VX"
"2016","68000 kms "," Petrol "," Manual"," 4.40 Lakh","Honda Brio V MT"
"2016","67473 kms "," Petrol "," Automatic"," 5.95 Lakh","Honda Jazz 1.2 V AT i VTE"
"2009","83000 kms "," Petrol "," Manual"," 2.45 Lakh","Honda City 1.5 V MT"
"2008","80000 kms "," Petrol "," Manual"," 1.25 Lakh","Honda CR-V 2.0 2WD"
"2009","65000 kms "," Petrol "," Manual"," 1.75 Lakh","Honda City 1.5 S MT"
"2015","68000 kms "," Diesel "," Manual"," 5.30 Lakh","Honda City i DTEC V"
"2015","53000 kms "," Diesel "," Manual"," 3.30 Lakh","Honda Amaze S i-Dtech"
"2019","35000 kms "," Petrol "," Automatic"," 15 Lakh","Honda Civic VX BSIV"
"2016","58871 kms "," Petrol "," Automatic"," 7.80 Lakh","Honda City 1.5 GXI CVT"
"2015","55000 kms "," Petrol "," Automatic"," 5.90 Lakh","Honda City 1.5 GXI CVT"
"2016","50000 kms "," Diesel "," Manual"," 4.25 Lakh","Honda Jazz 1.5 V i DTEC"
